,Unnamed: 0,i,j,dist,route
3135,3135,32,62,2438.043,"[5051267737, 221301244, 5051267740, 5051267739, 4681052643, 221299172, 221299181, 221299198, 221299226, 7174134447, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221301686, 221301620, 221301617, 8875025722, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046, 221323814, 6789356526, 6789356567, 2244353149, 8218358733]"
3137,3137,32,63,2769.832,"[5051267737, 221301244, 5051267740, 5051267739, 4681052643, 221299172, 221299181, 221299198, 221299226, 7174134447, 221299237, 6411450873, 221299256, 221299286, 221299304, 2210591363, 2212132992, 221330557, 221330775, 2210654477, 7263611320, 8011979690, 8011979686, 8011968984, 8396107023, 8011968961, 6965100459]"
65,65,33,0,2332.276,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
193,193,33,1,1322.504,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136]"
316,316,33,2,1476.629,"[221305061, 221302437, 221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136]"
437,437,33,3,390.908,"[221319475, 7515688121, 2218014968, 2218014955, 2217994136]"
556,556,33,4,721.557,"[221320236, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136]"
673,673,33,5,670.213,"[221298310, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136]"
788,788,33,6,847.115,"[221298350, 221298329, 221298310, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136]"
901,901,33,7,796.246,"[2217994122, 221306028, 221320708, 221322754, 2217993909, 2218015164, 2218015170, 2217994136]"
1012,1012,33,8,477.847,"[2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136]"
1121,1121,33,9,615.739,"[2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136]"
1228,1228,33,10,905.345,"[2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136]"
1333,1333,33,11,1073.331,"[221314437, 221328687, 2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136]"
1436,1436,33,12,1155.358,"[221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136]"
1537,1537,33,13,1559.647,"[221323785, 6789356541, 6789356538, 221329428, 6789359198, 8178538742, 6789359196, 221323814, 221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136]"
1636,1636,33,14,1469.672,"[221323303, 221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
1733,1733,33,15,1381.282,"[221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
1828,1828,33,16,614.24,"[221301713, 221313774, 221328462, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
1921,1921,33,17,456.929,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2012,2012,33,18,195.668,"[221326609, 2217994046, 2217993846, 2217994136]"
2101,2101,33,19,289.617,"[221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2188,2188,33,20,289.62,"[5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136]"
2273,2273,33,21,2866.707,"[4705949985, 8205079452, 4704589874, 221325874, 221325877, 221325879, 221306806, 2210576380, 221302173, 2210576296, 2211952224, 221323509, 2210576586, 2210576159, 4704639847, 2210576738, 4704639844, 221298902, 221298898, 221298892, 221302050, 7295129646, 221302033, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2356,2356,33,22,1797.062,"[221326414, 221323303, 221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2437,2437,33,23,1788.431,"[8433686888, 221298857, 7805312035, 221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2516,2516,33,24,1887.015,"[221298868, 221321123, 221302227, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2593,2593,33,25,1579.944,"[7805312040, 221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2668,2668,33,26,1392.03,"[221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2741,2741,33,27,1456.325,"[221319014, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2812,2812,33,28,1597.527,"[221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
2881,2881,33,29,1290.721,"[221323814, 221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136]"
2948,2948,33,30,776.104,"[221332021, 221318810, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136]"
3013,3013,33,31,905.888,"[2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136]"
3076,3076,33,32,1372.658,"[5051267737, 4681052660, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136]"
3138,3138,33,33,0,[2217994136]
3140,3140,33,34,152.564,"[2217994136, 2218015170]"
3142,3142,33,35,535.009,"[2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 221318810]"
3144,3144,33,36,1069.603,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 8751578244, 6556362348, 6556362356, 6556362328, 6556362368]"
3146,3146,33,37,2032.459,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887]"
3148,3148,33,38,1971.687,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 5051267779, 5051267778, 5051267777, 5051267776, 5051267775, 5051267774]"
3150,3150,33,39,1759.569,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 5051267779, 5051267778, 5051267777]"
3152,3152,33,40,1647.818,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 5051267779, 5051267778]"
3154,3154,33,41,1506.382,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780]"
3156,3156,33,42,1791.687,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299304, 2210591363, 221299609, 8417400956, 6456379560, 8397495484]"
3158,3158,33,43,1729.96,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299586, 221301342, 221301352, 221301361, 7675630687, 7675630688, 7675630699, 7675630707, 7675630708]"
3160,3160,33,44,1782.016,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 221319014, 221319024, 221327144]"
3162,3162,33,45,1518.149,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512, 221327495]"
3164,3164,33,46,1392.03,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512]"
3166,3166,33,47,2081.044,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221302248, 221298876, 221320429]"
3168,3168,33,48,1076.288,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 3703724242, 221318190, 221318186]"
3170,3170,33,49,1948.621,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221319853]"
3172,3172,33,50,2129.092,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314]"
3174,3174,33,51,2264.582,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314, 221326495]"
3176,3176,33,52,584.117,"[2217994136, 2218015170, 2218015164, 2217993909, 221322754, 2218015046, 221298303]"
3178,3178,33,53,1328.588,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 3703724242, 221318190, 221318186, 8023854732, 8209187767, 8209187735, 221308669, 6864966868]"
3180,3180,33,54,755.194,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733]"
3182,3182,33,55,195.668,"[2217994136, 2217993846, 2217994046, 221326609]"
3184,3184,33,56,1250.311,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 2062512811, 7786446708, 7786446707, 7786446715, 7786446736, 7786446730, 7786446733]"
3186,3186,33,57,1126.358,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 8751578244, 6556362348, 6410049278]"
3188,3188,33,58,1227.303,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046]"
3190,3190,33,59,1187.803,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
3192,3192,33,60,4490.778,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
3194,3194,33,61,2723.594,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314, 221326495, 7623939008, 7623939006, 7623939005, 7623939004, 3072514305, 3072514317, 3072514520, 3072514321, 3072514515, 3072514329, 3072514331, 4828035305, 3072514433, 3072514781, 3072514770, 221308215]"
3196,3196,33,62,1446.964,"[2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046, 221323814, 6789356526, 6789356567, 2244353149, 8218358733]"
3198,3198,33,63,2949.003,"[2217994136, 2217993846, 2217994046, 221326609, 221313876, 221317082, 221313030, 221313023, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299304, 2210591363, 2212132992, 221330557, 221330775, 2210654477, 7263611320, 8011979690, 8011979686, 8011968984, 8396107023, 8011968961, 6965100459]"
67,67,34,0,2484.84,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
195,195,34,1,1475.068,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170]"
318,318,34,2,1629.193,"[221305061, 221302437, 221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170]"
439,439,34,3,543.472,"[221319475, 7515688121, 2218014968, 2218014955, 2217994136, 2218015170]"
558,558,34,4,568.993,"[221320236, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170]"
675,675,34,5,517.649,"[221298310, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170]"
790,790,34,6,694.551,"[221298350, 221298329, 221298310, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170]"
903,903,34,7,643.682,"[2217994122, 221306028, 221320708, 221322754, 2217993909, 2218015164, 2218015170]"
1014,1014,34,8,325.283,"[2218015046, 221322754, 2217993909, 2218015164, 2218015170]"
1123,1123,34,9,463.175,"[2217993943, 2217993888, 2217993909, 2218015164, 2218015170]"
1230,1230,34,10,752.781,"[2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170]"
1335,1335,34,11,920.767,"[221314437, 221328687, 2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170]"
1438,1438,34,12,1307.922,"[221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170]"
1539,1539,34,13,1712.211,"[221323785, 6789356541, 6789356538, 221329428, 6789359198, 8178538742, 6789359196, 221323814, 221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170]"
1638,1638,34,14,1622.236,"[221323303, 221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
1735,1735,34,15,1533.846,"[221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
1830,1830,34,16,766.804,"[221301713, 221313774, 221328462, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
1923,1923,34,17,609.493,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2014,2014,34,18,348.232,"[221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2103,2103,34,19,442.181,"[221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2190,2190,34,20,442.184,"[5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170]"
2275,2275,34,21,3019.271,"[4705949985, 8205079452, 4704589874, 221325874, 221325877, 221325879, 221306806, 2210576380, 221302173, 2210576296, 2211952224, 221323509, 2210576586, 2210576159, 4704639847, 2210576738, 4704639844, 221298902, 221298898, 221298892, 221302050, 7295129646, 221302033, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2358,2358,34,22,1949.626,"[221326414, 221323303, 221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2439,2439,34,23,1940.995,"[8433686888, 221298857, 7805312035, 221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2518,2518,34,24,2039.579,"[221298868, 221321123, 221302227, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2595,2595,34,25,1732.508,"[7805312040, 221327495, 221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2670,2670,34,26,1544.594,"[221327512, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2743,2743,34,27,1608.889,"[221319014, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2814,2814,34,28,1750.091,"[221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
2883,2883,34,29,1443.285,"[221323814, 221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170]"
2950,2950,34,30,623.54,"[221332021, 221318810, 2217993888, 2217993909, 2218015164, 2218015170]"
3015,3015,34,31,753.324,"[2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 2218015164, 2218015170]"
3078,3078,34,32,1220.094,"[5051267737, 4681052660, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 2218015164, 2218015170]"
3139,3139,34,33,152.564,"[2217994136, 2218015170]"
3199,3199,34,34,0,[2218015170]
3201,3201,34,35,382.445,"[2218015170, 2218015164, 2217993909, 2217993888, 221318810]"
3203,3203,34,36,1222.167,"[2218015170, 2217994136, 2217993846, 2217994046, 221326615, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 8751578244, 6556362348, 6556362356, 6556362328, 6556362368]"
